recordid,address,house_number,street,zip_original,cb_original,site,species,diameter,status,wires,sidewalk_condition,support_structure,borough,x,y,longitude,latitude,cb_new,zip_new,censustract_2010,censusblock_2010,nta_2010,segmentid,spc_common,spc_latin,location
433600,73-031 57 AV,73-031,57 AV,11378,405,Front,QUPA,6,Good,Yes,Good,None,Queens,1015198.8,204725.3752,-73.888337,40.728546,405,11378,49302,2000,QN30,74525,OAK PIN,QUERCUS PALUSTRIS,(40.728546 -73.888337)
48050,2434 HOFFMAN ST,2434,HOFFMAN ST,10458,106,Adjacent,GLTR,10,Excellent,None,Good,None,Bronx,1015285.352,251404.6333,-73.887809,40.856668,206,10458,389,3005,BX06,80255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.856668 -73.887809)
506340,33 MULBERRY CIR,33,MULBERRY CIR,10314,502,Front,QURU,21,Good,None,Good,None,Staten Island,938159.2455,157433.6199,-74.165972,40.598675,502,10314,29103,4004,SI05,4866,OAK NORTHERN RED,QUERCUS RUBRA,(40.598675 -74.165972)
348044,79-037 213 ST,79-037,213 ST,11364,411,Front,ACPL,15,Poor,None,Good,None,Queens,1051164.586,207115.0182,-73.758549,40.734906,411,11364,129103,3004,QN42,181602,MAPLE NORWAY,ACER PLATANOIDES,(40.734906 -73.758549)
354765,68-015 172 ST,68-015,172 ST,11365,408,Front,ACPL,7,Good,None,NA,None,Queens,1040337.002,206542.9578,-73.797623,40.733411,408,11365,1223,3001,QN38,95970,MAPLE NORWAY,ACER PLATANOIDES,(40.733411 -73.797623)
228644,30-023 84 ST,30-023,84 ST,11370,403,Front,QUPA,25,Good,None,Good,None,Queens,1016259.46,216533.0617,-73.884454,40.760952,403,11370,337,1003,QN28,130572,OAK PIN,QUERCUS PALUSTRIS,(40.760952 -73.884454)
154016,562 1 ST,562,1 ST,11215,206,Front,PLAC,15,Poor,None,Good,None,Brooklyn,991553.1885,183318.2085,-73.973673,40.66984,306,11215,165,3000,BK37,29005,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.66984 -73.973673)
499366,93 LITTLE CLOVE RD,93,LITTLE CLOVE RD,10301,501,Side,GIBI,6,Good,Yes,Good,None,Staten Island,955952.0001,161863.0001,-74.101919,40.610908,501,10301,16901,2024,SI07,13098,GINKGO,GINKGO BILOBA,(40.610908 -74.101919)
51547,100 ALCOTT PL,100,ALCOTT PL,10475,110,Front,GLTR,5,Excellent,None,Good,None,Bronx,1031112.5,256828.32,-73.830557,40.871484,210,10475,46201,7000,BX13,223241,HONEYLOCUST,GLEDITSIA TRIACANTHOS,(40.871484 -73.830557)
377394,86-008 RANGE ST,86-008,RANGE ST,11427,413,Front,FRPE,8,Good,None,Good,None,Queens,1058167.918,206404.0153,-73.733287,40.732899,413,11427,1621,1005,QN43,100932,ASH GREEN,FRAXINUS PENNSYLVANICA,(40.732899 -73.733287)
110908,230 KINGSTON AV,230,KINGSTON AV,11213,208,Adjacent,PLAC,25,Good,None,Good,None,Brooklyn,1000349.193,184070.0751,-73.941963,40.671892,308,11213,339,3000,BK61,42988,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.671892 -73.941963)
197310,126 GEORGE ST,126,GEORGE ST,11237,204,Front,ZESE,5,Good,None,Good,None,Brooklyn,1003801.757,195557.087,-73.929484,40.703414,304,11237,427,4001,BK77,44595,ZELKOVA JAPANESE,ZELKOVA SERRATA,(40.703414 -73.929484)
115488,78 STERLING PL,78,STERLING PL,11217,206,Front,ACSA2,17,Excellent,None,Raised,None,Brooklyn,990928.4628,186276.9261,-73.975922,40.677961,306,11217,159,4000,BK37,28935,MAPLE SUGAR,ACER SACCHARUM,(40.677961 -73.975922)
234768,69-061 73 PL,69-061,73 PL,11379,405,Front,ACSA1,12,Good,None,NA,None,Queens,1018154.641,197175.0269,-73.87771,40.707812,405,11379,619,1009,QN21,49521,MAPLE SILVER,ACER SACCHARINUM,(40.707812 -73.87771)
130501,973 E 80 ST,973,E 80 ST,11236,218,Adjacent,PLAC,23,Good,Yes,Raised,None,Brooklyn,1008691.983,170383.5021,-73.911938,40.634306,318,11236,956,1001,BK50,128420,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.634306 -73.911938)
468050,58 MASON BLVD,58,MASON BLVD,10309,503,Front,ACPL,4,Excellent,None,Good,None,Staten Island,926314.5002,137698.9998,-74.208455,40.544438,503,10309,20801,4006,SI32,108187,MAPLE NORWAY,ACER PLATANOIDES,(40.544438 -74.208455)
2819,37-039 CLINTON ST,37-039,CLINTON ST,10002,103,Adjacent,PS,0,Planting Space,None,Good,None,Manhattan,1,1,1,1,103,10002,3001,4000,MN27,33068,PLANTING SITE,PLANTING SITE,(1 1)
477975,162 WARWICK AV,162,WARWICK AV,10314,502,Side,PS,0,Planting Space,Yes,Good,None,Staten Island,946182.2853,160625.635,-74.137099,40.607475,502,10314,18902,2010,SI05,9164,PLANTING SITE,PLANTING SITE,(40.607475 -74.137099)
475888,46 RYE AV,46,RYE AV,10312,503,Side,FRPE,7,Good,None,Good,None,Staten Island,936927.2174,137943.4928,-74.170272,40.545172,503,10312,17011,1021,SI01,3610,ASH GREEN,FRAXINUS PENNSYLVANICA,(40.545172 -74.170272)
272507,64-046 232 ST,64-046,232 ST,11364,411,Front,ACRU,5,Good,Yes,Good,None,Queens,1054756.291,212279.0826,-73.745535,40.749052,411,11364,1377,3007,QN42,101468,MAPLE RED,ACER RUBRUM,(40.749052 -73.745535)
323994,146-011 107 AV,146-011,107 AV,11435,412,Front,TICO,5,Good,Yes,Good,None,Queens,1038915.044,191755.4482,-73.802874,40.692832,412,11435,198,1002,QN01,57187,LINDEN LITTLE LEAF,TILIA CORDATA,(40.692832 -73.802874)
237730,78-004 76 ST,78-004,76 ST,11385,405,Front,ACPL,22,Good,None,Good,Stakes / Wires,Queens,1019376.104,195950.3325,-73.873311,40.704445,405,11385,63301,1004,QN19,49588,MAPLE NORWAY,ACER PLATANOIDES,(40.704445 -73.873311)
415622,134-034 159 ST,134-034,159 ST,11434,412,Front,ACSA1,32,Poor,None,Raised,None,Queens,1045901.189,184090.4294,-73.777752,40.671748,412,11434,294,2008,QN02,59329,MAPLE SILVER,ACER SACCHARINUM,(40.671748 -73.777752)
96700,299 GREENE AV,299,GREENE AV,11238,203,Front,ZESE,5,Good,None,Good,None,Brooklyn,995507.6722,189735.88,-73.959407,40.687451,303,11238,233,1001,BK75,29485,ZELKOVA JAPANESE,ZELKOVA SERRATA,(40.687451 -73.959407)
134358,1641 E 36 ST,1641,E 36 ST,11234,218,Front,PLAC,16,Good,None,Good,None,Brooklyn,1001498.434,163564.0086,-73.937873,40.615605,318,11234,646,1004,BK45,40731,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.615605 -73.937873)
71293,1785 POPHAM AV,1785,POPHAM AV,10453,105,Adjacent,SOJA,7,Good,None,Good,None,Bronx,1006886.795,249471.595,-73.918176,40.851388,205,10453,20502,1000,BX36,71917,JAPANESE PAGODA TREE,SOPHORA JAPONICA,(40.851388 -73.918176)
13209,320 W 96 ST,320,W 96 ST,10025,107,Front,ACPL,4,Good,None,Good,None,Manhattan,991561.7731,229071.9481,-73.973593,40.795423,107,10025,183,2000,MN12,37274,MAPLE NORWAY,ACER PLATANOIDES,(40.795423 -73.973593)
492461,32 HALPIN AV,32,HALPIN AV,10312,503,Front,PYCA,3,Good,Yes,Good,None,Staten Island,932702.0002,141198.5,-74.1855,40.554083,503,10312,17007,1005,SI48,4002,PEAR CALLERY,PYRUS CALLERYANA,(40.554083 -74.1855)
16166,128 W 75 ST,128,W 75 ST,10023,107,Front,TICO,11,Good,None,Good,None,Manhattan,990287.8655,223348.4953,-73.978199,40.779714,107,10023,161,5000,MN12,37090,LINDEN LITTLE LEAF,TILIA CORDATA,(40.779714 -73.978199)
498798,167 BEACH AV,167,BEACH AV,10306,502,Side,PLAC,21,Excellent,Yes,Good,None,Staten Island,951301.2208,147154.4005,-74.118598,40.57052,502,10306,134,3005,SI45,10508,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.57052 -74.118598)
190802,110 Avenue J,110,Avenue J,11230,212,Front,PLAC,13,Good,Yes,Good,None,Brooklyn,991005.1446,166474.4692,-73.975666,40.623608,312,11230,450,1005,BK46,26536,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.623608 -73.975666)
257107,82-037 KEW GARDENS RD,82-037,KEW GARDENS RD,11415,409,Side,PLAC,21,Good,None,Good,None,Queens,1031751.91,198562.7174,-73.828657,40.711558,409,11415,216,1012,QN60,56112,LONDON PLANETREE,PLATANUS ACERIFOLIA,(40.711558 -73.828657)
468431,53 OAKVILLE AV,53,OAKVILLE AV,10314,502,Front,PYCA,3,Excellent,None,Good,None,Staten Island,947229.384,157505.1237,-74.133311,40.598914,502,10314,27302,1012,SI05,8088,PEAR CALLERY,PYRUS CALLERYANA,(40.598914 -74.133311)
